title,authors,categories,averageRating
Adobe Premiere Pro CS3,['Adobe Systems'],['Computers'],3.0
American Men of Science,,['Canada'],
Analyzing the Hospital Life Safety Survey,['Brad Keyes'],['Medical'],
SCLC,,['African Americans'],
United States Department of Commerce Telephone Directory,['United States. Dept. of Commerce'],,
Holstein-Friesian Herd Book,['Holstein-Friesian Association of Canada'],['Cattle'],
Journal of the Military Service Institution of the United States,['Military Service Institution of the United States'],['Military art and science'],
Adobe Premiere Pro CS4 Classroom in a Book,['Adobe Creative Team'],['Computers'],5.0
Quantum Electronics,"['Pierre Grivet', 'N. Bloembergen']",['Quantum electronics'],
The Canadian Record of Performance for Purebred Dairy Cattle,['Canada. Dept. of Agriculture. Production Service'],['Cattle'],
